#############
### POWER ###
#############
@battleship_power_10 = 7600
@battleship_power_11 = 9000

@Carrier_power_1 = 1400
@Carrier_power_2 = 2000
@Carrier_power_3 = 3000
@Carrier_power_4 = 4000
@Carrier_power_5 = 5000
@Carrier_power_6 = 6000

@Dreadnought_power_1 = 3000
@Dreadnought_power_2 = 4000
@Dreadnought_power_3 = 5000
@Dreadnought_power_4 = 6000
@Dreadnought_power_5 = 7000
@Dreadnought_power_6 = 8000
@Dreadnought_power_7 = 9000
@Dreadnought_power_8 = 10000
@Dreadnought_power_9 = 11000
@Dreadnought_power_10 = 12000
@Dreadnought_power_11 = 13000

@titan_power_6 = 9500
@titan_power_7 = 11000
@titan_power_8 = 12500
@titan_power_9 = 14000
@titan_power_10 = 15500
@titan_power_11 = 17000

@Flagship_power_1 = 35000
@Flagship_power_2 = 65000
@Flagship_power_3 = 95000

@platform_power_1 = 200
@platform_power_2 = 260
@platform_power_3 = 340
@platform_power_4 = 440
@platform_power_5 = 575
@platform_power_6 = 750
@platform_power_7 = 925
@platform_power_8 = 1100
@platform_power_9 = 1275
@platform_power_10 = 1450
@platform_power_11 = 1625

@station_power_1 = 200
@station_power_2 = 260
@station_power_3 = 340
@station_power_4 = 440
@station_power_5 = 575
@station_power_7 = 1200
@station_power_8 = 1300
@station_power_9 = 1400
@station_power_10 = 1500
@station_power_11 = 1600

@fortress_power_1 = 1200
@fortress_power_2 = 1500
@fortress_power_3 = 2000
@fortress_power_4 = 2500
@fortress_power_5 = 3000
@fortress_power_7 = 3500
@fortress_power_8 = 4000
@fortress_power_9 = 6000
@fortress_power_10 = 8000
@fortress_power_11 = 10000

@hqpower = 90000



############
### COST ###
############

@corvette_cost_1 = 10
@corvette_cost_2 = 13
@corvette_cost_3 = 17
@corvette_cost_4 = 22
@corvette_cost_5 = 28
@corvette_cost_6 = 37

@destroyer_cost_1 = 20
@destroyer_cost_2 = 26
@destroyer_cost_3 = 34
@destroyer_cost_4 = 44
@destroyer_cost_5 = 56
@destroyer_cost_6 = 74

@cruiser_cost_1 = 40
@cruiser_cost_2 = 52
@cruiser_cost_3 = 68
@cruiser_cost_4 = 88
@cruiser_cost_5 = 112
@cruiser_cost_6 = 148

@battleship_cost_1 = 80
@battleship_cost_2 = 104
@battleship_cost_3 = 136
@battleship_cost_4 = 176
@battleship_cost_5 = 224
@battleship_cost_6 = 296

@titan_cost_1 = 160
@titan_cost_2 = 208
@titan_cost_3 = 272
@titan_cost_4 = 352
@titan_cost_5 = 448
@titan_cost_6 = 592

@colossus_cost_1 = 0

@platform_cost_1 = 20
@platform_cost_2 = 26
@platform_cost_3 = 34
@platform_cost_4 = 44
@platform_cost_5 = 56
@platform_cost_6 = 74

@corvette_cost_7 = 47
@corvette_cost_8 = 58
@corvette_cost_9 = 70
@corvette_cost_10 = 83
@corvette_cost_11 = 97

@destroyer_cost_7 = 94
@destroyer_cost_8 = 116
@destroyer_cost_9 = 140
@destroyer_cost_10 = 166
@destroyer_cost_11 = 194

@cruiser_cost_7 = 188
@cruiser_cost_8 = 232
@cruiser_cost_9 = 280
@cruiser_cost_10 = 332
@cruiser_cost_11 = 388

@StrikeCruiser_cost_1 = 50
@StrikeCruiser_cost_2 = 65
@StrikeCruiser_cost_3 = 85
@StrikeCruiser_cost_4 = 110
@StrikeCruiser_cost_5 = 140
@StrikeCruiser_cost_6 = 185
@StrikeCruiser_cost_7 = 235
@StrikeCruiser_cost_8 = 290
@StrikeCruiser_cost_9 = 350
@StrikeCruiser_cost_10 = 415
@StrikeCruiser_cost_11 = 485

@Battlecruiser_cost_1 = 60
@Battlecruiser_cost_2 = 78
@Battlecruiser_cost_3 = 102
@Battlecruiser_cost_4 = 132
@Battlecruiser_cost_5 = 168
@Battlecruiser_cost_6 = 222
@Battlecruiser_cost_7 = 282
@Battlecruiser_cost_8 = 348
@Battlecruiser_cost_9 = 420
@Battlecruiser_cost_10 = 498
@Battlecruiser_cost_11 = 582

@battleship_cost_7 = 376
@battleship_cost_8 = 464
@battleship_cost_9 = 560
@battleship_cost_10 = 664
@battleship_cost_11 = 776

@Dreadnought_cost_1 = 120
@Dreadnought_cost_2 = 156
@Dreadnought_cost_3 = 204
@Dreadnought_cost_4 = 264
@Dreadnought_cost_5 = 336
@Dreadnought_cost_6 = 444
@Dreadnought_cost_7 = 564
@Dreadnought_cost_8 = 696
@Dreadnought_cost_9 = 840
@Dreadnought_cost_10 = 996
@Dreadnought_cost_11 = 1164

@titan_cost_7 = 752
@titan_cost_8 = 928
@titan_cost_9 = 1120
@titan_cost_10 = 1328
@titan_cost_11 = 1552

@platform_cost_7 = 100
@platform_cost_8 = 110
@platform_cost_9 = 120
@platform_cost_10 = 130
@platform_cost_11 = 140

@station_cost_1 = 60
@station_cost_2 = 70
@station_cost_3 = 80
@station_cost_4 = 90
@station_cost_5 = 100
@station_cost_7 = 110
@station_cost_8 = 120
@station_cost_9 = 130
@station_cost_10 = 140
@station_cost_11 = 150

@fortress_cost_1 = 70
@fortress_cost_2 = 80
@fortress_cost_3 = 90
@fortress_cost_4 = 100
@fortress_cost_5 = 110
@fortress_cost_7 = 120
@fortress_cost_8 = 130
@fortress_cost_9 = 140
@fortress_cost_10 = 150
@fortress_cost_11 = 160

@Flagship_cost = 3070
###################
### UNICRON	   ####
###################

#### Tier 5 ####
utility_component_template = {
	key = "CORVETTE_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = 400
	resources = {
		category = ship_components

		cost = {
			alloys = 48
			sr_dark_matter = 1
		}
		upkeep = {
			energy = 0.37
			alloys = 0.037
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" }
	component_set = "power_core"
	size_restriction = { corvette frigate colonizer lithoid_colonizer lithoid_colonizer sponsored_colonizer constructor science transport crisis_corvette }
	
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "DESTROYER_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = 800
	resources = {
		category = ship_components

		cost = {
			alloys = 110
			sr_dark_matter = 2
		}
		upkeep = {
			energy = 0.74
			alloys = 0.074
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" }
	component_set = "power_core"
	size_restriction = { destroyer crisis_destroyer }
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "CRUISER_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = 1600
	resources = {
		category = ship_components

		cost = {
			alloys = 190
			sr_dark_matter = 4
		}
		upkeep = {
			energy = 1.48
			alloys = 0.148
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" }
	component_set = "power_core"
	size_restriction = { cruiser crisis_cruiser }
	
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "BATTLESHIP_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = 3200
	resources = {
		category = ship_components

		cost = {
			alloys = 380
			sr_dark_matter = 8
		}
		upkeep = {
			energy = 2.98
			alloys = 0.298
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" }
	component_set = "power_core"
	size_restriction = { battleship }
	
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "TITAN_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = 6400
	resources = {
		category = ship_components

		cost = {
			alloys = 760
			sr_dark_matter = 16
		}
		upkeep = {
			energy = 5.93
			alloys = 0.593
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" }
	component_set = "power_core"
	size_restriction = { titan }
	
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "COLOSSUS_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = 15000

	prerequisites = { "tech_unicron_anti_spark_reactor" }
	component_set = "power_core"
	size_restriction = { colossus star_eater }
	

	ai_weight = {
		weight = 130
	}
}

utility_component_template = {
	key = "PLATFORM_UNICRON_REACTOR"
	size = large
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = @platform_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @platform_cost_11
			sr_dark_matter = 2
		}	
		upkeep = {
			energy = 1.19
			alloys = 0.119
		}
	}

	prerequisites = { "tech_unicron_anti_spark_reactor" }
	class_restriction = { shipclass_military_station }
	size_restriction = {
		military_station_small
		military_station_medium
		military_station_large
	}
	component_set = "power_core"
	

	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "ION_CANNON_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = 3500
	resources = {
		category = ship_components

		cost = {
			alloys = 380
			sr_dark_matter = 8
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" }
	component_set = "power_core"
	size_restriction = { ion_cannon }
	
	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "STARBASE_UNICRON_REACTOR"
	size = large
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = 16000

	prerequisites = { "tech_unicron_anti_spark_reactor" }
	class_restriction = { shipclass_starbase }
	component_set = "power_core"
	size_restriction = {
		starbase_outpost
		starbase_starport
		starbase_starhold
		starbase_starfortress
		starbase_citadel
		juggernaut
	}

	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}


#NSC SHIPS

utility_component_template = {
	key = "STRIKECRUISER_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = @StrikeCruiser_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @StrikeCruiser_cost_11
			sr_dark_matter = 4
		}	
		upkeep = {
			energy = 8.56
			alloys = 0.856
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" "tech_StrikeCruiser_1"  }
	component_set = "power_core"
	size_restriction = { StrikeCruiser explorationship cruiser crisis_cruiser }
	
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "BATTLECRUISER_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = @Battlecruiser_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @Battlecruiser_cost_11
			sr_dark_matter = 5
		}	
		upkeep = {
			energy = 9.38
			alloys = 0.938
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" "tech_Battlecruiser_1" }
	component_set = "power_core"
	size_restriction = { Battlecruiser explorationship cruiser crisis_cruiser}
	
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "CARRIER_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = @battleship_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @battleship_cost_11
			sr_dark_matter = 6
		}	
		upkeep = {
			energy = 15.59
			alloys = 0.1559
		}
	}

	prerequisites = { "tech_unicron_anti_spark_reactor" "tech_Carrier_1" }
	component_set = "power_core"
	size_restriction = { battleship Carrier }
	
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "DREADNOUGHT_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = @Dreadnought_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @Dreadnought_cost_11
			sr_dark_matter = 7
		}	
		upkeep = {
			energy = 15.749
			alloys = 0.15749
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" "tech_Dreadnought_1" }
	component_set = "power_core"
	size_restriction = { Dreadnought titan }
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "FLAGSHIP_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = @Flagship_power_3
	
	resources = {
		category = ship_components
		cost = { alloys = @Flagship_cost }	
		upkeep = {
			energy = 60
			alloys = 0.6
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" "tech_Flagship_1" }
	component_set = "power_core"
	size_restriction = { Flagship juggernaut }
	
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

#NSC STATIONS

utility_component_template = {
	key = "STATION_UNICRON_REACTOR"
	size = large
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = @station_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @station_cost_11
			sr_dark_matter = 3
		}	
		upkeep = {
			energy = 1.24
			alloys = 0.124
		}
	}

	prerequisites = { "tech_unicron_anti_spark_reactor" "tech_optimized_enigmatic_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_small }
	component_set = "power_core"
	size_restriction = {
		starbase_citadel starbase_stronghold starbase_headquarters juggernaut headquarters
	}

	ai_weight = { 
		weight = 13
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "FORTRESS_UNICRON_REACTOR"
	size = small
	icon = "GFX_unicron_reactor"
	icon_frame = 1
	power = @fortress_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @fortress_cost_11
			sr_dark_matter = 4
		}	
		upkeep = {
			energy = 1.19
			alloys = 0.129
		}
	}
	
	prerequisites = { "tech_unicron_anti_spark_reactor" "tech_optimized_enigmatic_power" }
	component_set = "power_core"
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_small }
	
	
	ai_weight = { 
		weight = 13
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

