##########################################################################
# Name List for Pirate Waves
#
# Written by ScepraX
##########################################################################

PRW1 = {
	selectable = { always = no }
	randomized = no

	trigger = {
		is_country_type = pirate_waves_country
	}

	ship_names = {
		generic = {
			"Cardiac Arrest" "Piece of Junk" "I Didn't Want This" "Bottom Line" "With Abandon" "Do Not Respond" "Unsound Methods" "Beast of Burden" "Red Claw"
			"Flying Dorgabloid" "No Laughing Matter" "Nothing Personal" "Great Experiment" "Looks Like Trouble" "Turning Point" "Curse of Zuldaxim" Scalawag Guttersnipe
			"Murderous Intent" "If Looks Could Kill" "What Sorcery Is This" Untranslatable "Liquid Courage" "Attention Seeker" "Your Female Parent" "Juvenile Delinquent"
			"Mystery Meat" "Slippery Slope" Knucklehead "Spirit of Zalussa" "Empty Gesture" "Annoying Pest" "Zarga's Ship" "Zarga's Other Ship" "Killing Implement"
			"Blunt Object" "The General Xarg" "Blockade Runner" "Innocent Bystander" Reprobate "Lacking Purpose" "Beyond Salvation" "This Too Shall Pass" "Guilty Pleasure"
			"Exploratory Surgery" "Inelegant Solution" Ragamuffin "Under New Ownership" "Resonance Cascade" "Festering Wound" "Red Smile" Rabble-rouser "Mysterious Stranger"
			"Process of Elimination" Wastrel Poppycock Hogwash Balderdash "Enough Lollygagging" "Prone to Hysteria" "Star Beggar" "Grace Under Pressure" Brainiac
			Nogoodnik Pockmark "Dream Shatterer" Oathbreaker Turncoat "Do The Math" "By The Numbers" Mishap Harridan "Big Boy" "Teacher's Pet" Destitute "Hell's Bells"
			Beguiler "Critical Mass" "Star Wench" "Double Standard" Half-wit Dunderhead Numbskull "Blind Fury" "Curse You All" "Carrion Eater" Unbidden "Pound of Flesh"
			"Pucker Up" "Short Fuse" Killjoy Footpad "Road Agent" Bushranger Simpleton Ignoramus "Not What It Seems" "Reprehensible" Intolerant Petulant "Deceiving Looks"
			
			"Privateers Corruption" "Fearful Grail of Princess" "Damned Dagger" "Cry of Abandoned" "Damnation of Night" "Burning Atlantis" "Hateful Executioners" "Plundering Tide" "Impolite Privateer" 
			"Dirty Insanity" "Vicious Seven Seas" "Death of Galley" "Hades Killer" "Deceit of Rift" "Sudden Tortuga" "New Raider" "Mermaid's Lightning" "Homicidal Secret" "Mangy Insanity" 
			"Poseidon's Disgrace" "Bearded Horror" "Disgraced Scorn" "Broken Knave" "Buccaneers Slave" "Shadows of Corsair" "Cursed Sea Rovers" "Disrespectful Captain" "Neptune's Lust" "Speedy Demon" 
			"Killers Rambler" "Cry Horror" "Gold Damnation" "Coward" "Poisoned Plunderers" "Hades Doubloon" "Fall of Tide" "Howling Tortuga" "Greed of Buccaneers" "Dragons Rovers" 
			"Pride of Pillager" "Nights Executioners" "Poison Murderer" "Most Damned" "Death of Grail" "Vicious Wolf" "Howling Manta" "Vicious Slave" "Fortune Delight" "Hell-born Killers" 
			"Fortune Murderer" "Pirates Wolf" "Captains Night" "Mangy Servants" "Poisoned Cutlass" "Savage Delivery" "Snap Swashbucklers" "Blasted Lust" "Fortune Anger" "Little Raider" 
			"Speedy Return" "Scurvy Buccaneers" "Damned Horror" "Sudden Tide" "Sanguine Lightning" "Gold Corsair" "Rude Executioners" "Pride of Hades" "Cry of Lust" "Evil Tortuga" 
			"Rude Sun" "Davy Jones Deceit" "Disgraced Buccaneers" "Scurvy Tainted" "Vile Captain" "Festering Raider" "Mayflower Damnation" "Revenge Murderer" "Howling Marauders" "Fortune Sea Rovers" 
			"Gold Doom" "Lust of Curse" "Adventure Plague" "Uncultured Cutlass" "Mad Raider" "Mayflower Dagger" "Mermaid's Plunderer" "Rancid Servants" "Rising Night" "Corrupted North" 
			"Mad Demon" "Saber" "Bearded Serpent" "Murderers Night" "Grail of Swashbucklers" "Curse of Abandoned" "Murderous Plunderer" "Fearful Grail of Murderers" "Crimson Gold" "Dishonorable North" 
			"Poseidon's Tainted" "Privateers Servants" "Broken Damnation" "White Seas" "Scurvy Terror" "Greedy Deceit" "Elusive Insanity" "Red Hades" "Howl of James" "New Executioners" 
			"Deceit of Sun" "Fearful Grail of Sea" "White Shark" "Grief of Murderer" "Hades Sea Rovers" "Bloody Cutlass" "Davy Jones Sea Rovers" "Sudden Rovers" "Good Corruption" "Deceitful Executioners" 
			"Buccaneers Killer" "Deceitful Corsair" "Bearded Scream" "Revenge Princess" "Happy Atlantis" "Murderous Grail" "Murderers Squid" "Scurvy Manta" "Hell-born Tide" "Filthy Grail" 
			"Homicidal Rambler" "Death of Rambler" "Corrupted Plague" "Curse of Deceit" "Fear" "Angry Caribbean" "Impolite Strumpet" "Festering Princess" "Cruel Servants" "Savage Tortuga" 
			"Homicidal Murderers" "Rancid Howl" "Howling Tide" "Fearful Dagger" "Sudden Cutlass" "Cry Pearl" "Fall of Ghost" "Lust of Sea Rovers" "Revenge Ghost" "Corrupted Trinity" 
			"Pirates Seven Seas" "Devils Treasure" "Killers" "Savage Insanity" "Hades Pirate" "Gold Delivery" "Snap Coward" "Howling Cutlass" "Neptune's Doom" "Disgrace of Atlantis" 
			"Impolite Pillager" "Anger of Demon" "Filthy Tainted" "Nights Anger" "Poseidon's Rose" "Plundering Howl" "Anger of Treasure" "Victory Rift" "Grand Damned" "Mayflower Serpent" 
			"Murderers Eel" "Bloodthirsty Serpent" "Disgraceful Rovers" "Sadness of Privateer" "Cruel Damnation" "Foul Serpent of Buccaneers" "Madness of Killer" "Uncultured North" "Scurvy Deceit" "Mad Lust" 
			"Cry Curse" "Disrespectful Servant" "Drunken Doubloon" "Good Delivery" "Night Hind" "Poisonous Demon" "Corruption" "Death of Ghost" "Captains Caribbean" "Killers Damnation" 
			"Hades Lightning" "Disgrace of Secret" "Mermaid's Cutlass" "Golden Disgrace" "Bearded Deceit" "Hades Pirate" "Victory Pirate" "Uncultured Secret" "Pride of Squid" "Killers Night" 
			"Savage Storm" "Revenge Death" "Deceit of Buccaneers" "Scream" "Filthy Hind" "Fearful Horror" "Sudden Sea Rovers" "Deceit of Dagger" "Fortune" "Scorn" 
			"Filthy Return" "Vicious Killers" "Fall of Plunder" "Snap Tortuga" "Sudden Seven Seas" "Poison Galley" "Bloody Shark" "Fall of Murderers" "Rising Lightning" "Damnation of Rovers" 
			"Cacophonous Ranger" "Doubloon" "Deceit of Plunder" "Rancid Trinity" "Savage Captain" "Devils Tortuga" "Hellish Serpent" "Fall of Night" "Foul Serpent of Grail" "Grief of Buccaneers" 
			"Poisonous Scream" "Broken Storm" "Loyal Shark" "Victory Insanity" "Happy Minnow" "Broken Secret" "Speedy Delivery" "Night Rose" "Elusive Sea" "Poisoned Sun" 
			"Adventure Howl" "Blasted Tide" "Poseidon's Grail" "Blasted Death" "Hades Sea" "Cutlass" "Deceit of Rambler" "Deceitful Seas" "Golden Doom" "Snap Corruption" 
			"Disrespectful Slave" "Savage Strumpet" "Disgraceful Serpent" "Blasted Raider" "Dirty Hades" "Grand Strumpet" "Angry Delivery" "Discourteous Fear" "Fearful Lightning" "Captains Fear" 
			"Neptune's Treasure" "Disgraceful Sea Rovers" "Cacophonous James" "Deceit of Sea Rovers" "Disgraceful Jewel" "Black Gold" "Death of Manta" "Horrid Sea" "Devils Tide" "Festering James" 
			"Homicidal Knave" "Cry Insanity" "Mayflower Horror" "Revenge Jewel" "Grief of Pearl" "Foul Serpent of Delight" "Cry of Lust" "Last Plunderer" "Grief of Cutlass" "Vicious Swashbucklers" 
			"Savage Curse" "Cacophonous Swashbucklers" "Captains Doubloon" "Little Manta" "Murderers Serpent" "Oceans Doubloon" "Mad Caribbean" "Shadows of Ghost" "Liberty Delight" "Barbaric Trinity" 
			"Lust of Grail" "Blasted Servant" "Pillaging King" "Madness of Eel" "Fall of Wolf" "White Demon" "Mayflower Jewel" "Killers Murderers" "Hangman" "Pride of Marauders" 
			"Victory Delight" "Sea Damned" "Blind Corsair" "Greedy Fortune" "Bloody James" "Fall of Plunderer" "Little Plunderer" "Grail of Sea Rovers" "Discourteous Murderer" "Howling Pillager" 
			"Rude Ranger" "Black Deceit" "Cry Rift" "Blind Eel" "Oceans Damned" "Sanguine Doubloon" "Most Rose" "Barbaric Executioner" "Howling Atlantis" "Speedy Deceit" 
			"Sudden Delight" "Davy Jones Anger" "Murderous Eel" "Murderers Princess" "Cruel Killers" "Rude Night" "Black Swashbucklers" "Burning Executioner" "Damnation of Death" "Fall of Curse" 
			"Mad Seas" "Crimson Curse" "New Howl" "Golden Executioners" "Golden Minnow" "Burning Corruption" "Hateful Fall" "Impolite Corruption" "Greedy Horror" "Grand Damned" 
			"Poisoned Eel" "Pride of Galley" "Poisonous Plunder" "Most Damnation" "White Serpent" "Angry Privateer" "Corrupted Ghost" "Pillaging Terror" "Lust of Pirate" "Homicidal Treasure" 
			"Buccaneers Atlantis" "Crimson Tide" "Cry of Marauders" "Liberty Minnow" "Flying Eel" "Scurvy Knave" "Pirates Executioners" "Victory Plunderers" "Gold Jewel" "Howl of Tide" 
			"Evil Princess" "Dishonorable Wolf" "Howling Pirate" "Dagger" "Rude Coward" "Abandoned" "Greedy Knave" "Murderers Death" "Discourteous Murderers" "Privateers Treasure" 
			"Greed of Coward" "Hades Scream" "Blasted Scorn" "Gold Rovers" "Poseidon's Revenge" "Rising Scorn" "Poseidon's Corruption" "Fall of Lightning" "Red Plunderer" "Scurvy Caribbean" 
			"Crimson Fortune" "Greed of Trinity" "Speedy North" "Vile Scream" "Disgrace of Return" "Happy King" "Cursed Buccaneers" "Corrupted North" "Dragons Cutlass" "Bearded Dragon" 
			"Revenge Damnation" "Homicidal Knave" "Speedy King" "Captains Buccaneers" "Foul Serpent of Shark" "Murderous Eel" "Sea Scorn" "Foul Serpent of Anger" "Poisoned Slave" "Poisoned Tide" 
			"Bloodthirsty Delight" "Mad Killer" "Drunken Scream" "Vicious Hangman" "Revenge" "Gold Rift" "Blasted Trinity" "Poisonous Corruption" "Curse of King" "Good Galley" 
			"Discourteous Lust" "Elusive Grail" "Homicidal Doubloon" "Murderers Raider" "Deceit of Horror" "Damned Wolf" "Shadows of Terror" "Madness of Privateer" "Liberty North" "Greedy Plunder" 
			"Curse of Slave" "Sadness of Saber" "Neptune's Return" "Barbaric Strumpet" "Golden Murderers" "Pirates Tide" "Poisoned Sun" "Filthy Abandoned" "Good Trinity" "Impolite Terror" 
			"Hell-born Murderer" "Silent Galley" "Mayflower Privateer" "Death of Doubloon" "Hades Corsair" "Nights Plunder" "Disrespectful James" "Howling James" "Discourteous Ranger" "Disgraceful Gold" 
			"Black Murderer" "Angry Murderer" "Silent Grail" "Neptune's Plunderer" "Fortune Grail" "Blind Minnow" "Damned Buccaneers" "Killers Corsair" "Horrid Ranger" "New Doubloon" 
			"Lust of Sea Rovers" "Scurvy Pillager" "Davy Jones Night" "Lust of Eel" "Greed of Marauders" "Bloodthirsty Killer" "Silent Serpent" "Poison Howl" "Poisoned Tide" "Gold Privateer" 
			"Good Coward" "Davy Jones Rift" "Hades Sea" "Deceitful King" "Vile Ranger" "Poisoned Fortune" "Curse of Dagger" "Gold Sea Rovers" "Sanguine Swashbucklers" "White Return" 
			"Madness of Abandoned" "Homicidal Pearl" "Flying Executioner" "Privateers Fall" "Madness of Scorn" "Seas Knave" "Murderer" "Rude Night" "Davy Jones Raider" "Red Plunderers" 
			"Damnation of Servant" "Murderers Caribbean" "Sanguine Servant" "Disgraceful Murderer" "Corsair" "Disgraceful Rift" "Hades" "Seas Knave" "Little Damned" "Deceit of Jewel" 
			"Horrid Coward" "Grand Princess" "Shadows of Princess" "Bearded Damned" "Damned Cutlass" "Insanity" "Pirates Fall" "Poisonous Dagger" "Disgraced Tainted" "Foul Serpent of Sea Rovers" 
			"Homicidal Slave" "Murderous Squid" "Greedy Ghost" "Return" "Buccaneers Terror" "Scream" "Greed of Rose" "Last Caribbean" "Davy Jones Disgrace" "Drunken Insanity" 
			"Buccaneers Strumpet" "Poisonous Sun" "Pillaging Tortuga" "Cruel Shark" "Barbaric Knave" "Drunken Damnation" "Uncultured Doubloon" "Sea Princess" "Broken Delivery" "Fearful Raider" 
			"Seas Raider" "Cursed Delight" "Burning Demon" "Nights Marauders" "Disrespectful Coward" "Mayflower Hangman" "Filthy Disgrace" "Blasted Sun" "Impolite Eel" "Angry Pirate" 
			"Pillaging Corsair" "Buccaneers Anger" "Good Plunderers" "Fall" "Liberty North" "Silent Lust" "Greedy North" "Cry of Marauders" "Evil Murderer" "Silent Delivery" 
			"Most Wolf" "Corrupted Sea Rovers" "Howling Ghost" "Disgraceful Curse" "Killers Fear" "Poseidon's Delivery" "Fall of Manta" "Plundering Delivery" "Fall of Abandoned" "Rancid Damnation" 
			"Rising Doom" "Devils Deceit" "Grand Pillager" "Last Rambler" "White Coward" "Privateers Disgrace" "Fear" "Lust of Princess" "Blasted Plague" "Grief of Manta" 
			"Festering Death" "Pillaging Ranger" "Fearful Scorn" "Crimson Servants" "Barbaric Princess" "Revenge Tainted" "Howling Demon" "Savage Doubloon" "Hell-born Fortune" "Howling Servant" 
			"Poisoned Tainted" "Disgraced Plunder" "Rude Anger" "Disgraced Captain" "Speedy Deceit" "Greedy Seas" "Fearful Grail of Manta" "Greedy Executioners" "Poisonous Trinity" "Dishonorable Rovers" 
			"Rising Atlantis" "Sea Corruption" "Deceitful Galley" "Good Horror" "Vile Tide" "Shadows of Seven Seas" "Murderous Dragon" "Bearded Secret" "Foul Serpent of Marauders" "Mermaid's Jewel" 
			" Doubloon" "Greed of Night" "Savage Pirate" "Revenge Lust" "Victory Plunderers" "Flying Grail" "Poison Gold" "Fortune Night" "Little Plague" "Flying Princess" 
			"Mad Terror" "Fearful Corruption" "Adventure Galley" "Murderers Ghost" "Homicidal Abandoned" "Discourteous Hangman" "Pillaging North" "Disgrace of Dagger" "Foul Serpent of Pearl" "Fall of Murderers" 
			"Dragons Coward" "Sadness of Trinity" "Victory Rift" "Damned Seven Seas" "Discourteous Galley" "Cursed Hades" "Poison Hangman" "Mangy Tide" "Dragons James" "Revenge Tainted" 
			"Fortune Cutlass" "Last Pillager" "Pillaging Fortune" "Damnation of Minnow" "Burning Rose" "Cursed Hangman" "Vicious Howl" "Hateful Scream" "Angry Damned" "Rancid Sea Rovers" 
			"Bloody Corsair" "Executioner" "Poison Rovers" "Rancid Sea" "Blind Seven Seas" "Liberty Corruption" "Greedy Murderer" "Vile Murderer" "Mangy Hangman" "Disrespectful Plague" 
			"Crimson Horror" "Broken Seas" "Deceit of Fear" "Revenge Curse" "Festering Corruption" "Davy Jones King" "Sea Hades" "Neptune's Wolf" "Discourteous Executioner" "Bloodthirsty Tainted" 
			"Davy Jones Murderer" "Crimson King" "Eel" "Discourteous Demon" "Speedy Abandoned" "Good Damned" "Burning Lust" "Sea Revenge" "Loyal Manta" "Mad Plunderer" 
			"Barbaric Plunder" "Red Servant" "Corrupted Galley" "Sea Grail" "Hateful Servant" "Greedy Serpent" "Fearful Hind" "Saber" "Oceans Fall" "Pillaging Murderers" 
			"Poisoned Hades" "Howling Treasure" "Deceit of Fear" "Poisoned Sea" "Privateers Sun" "Killers Doubloon" "Revenge Grail" "White Sun" "Mangy Fortune" "Sun" 
			"Fearful Grail of Grail" "Snap Princess" "Rancid Deceit" "Disrespectful Seven Seas" "Flying Cutlass" "Night Corsair" "Most Plunderer" "Murderers Eel" "Little Dragon" "Night Lightning" 
			"Privateers Secret" "Hateful Galley" "Captain" "Broken Plunder" "Speedy Killers" "Fearful Grail of Fear" "White Slave" "Howl of Executioner" "Gold Plague" "Disrespectful Anger" 
			"Nights Scorn" "Horrid Jewel" "Adventure Atlantis" "Little Pillager" "Scurvy Revenge" "Good Terror" "Cry Sea Rovers" "Cry Tide" "Liberty Revenge" "Last Seas" 
			"Cursed Serpent" "Howl" "Sanguine Doubloon" "Neptune's Damnation" "Savage Howl" "Murderous Rift" "Curse of Caribbean" "Plundering Dagger" "Deceitful Plague" "Sanguine Plunder" 
			"White Hind" "Dishonorable Sea" "Greed of Privateer" "Flying Plunderers" "Bloodthirsty Doubloon" "Fall of Marauders" "Sanguine Cutlass" "Anger of Hind" "Murderers Tide" "Corrupted Serpent" 
			"Deceitful Wolf" "Mad Sea" "Neptune's Captain" "Madness of Pirate" "Black Abandoned" "Bloodthirsty Doom" "New Secret" "Damnation of Pillager" "Night Ranger" "Neptune's Fall" 
			"Festering Eel" "Festering Swashbucklers" "Cursed Trinity" "New Manta" "Disrespectful Captain" "Plunder" "Plundering Corruption" "Cacophonous Storm" "Fearful Grail of Murderer" "Mayflower Coward" 
			"Speedy Damnation" "Bearded Secret" "Angry Shark" "Vile Shark" "Raider" "Disgraced Return" "Corrupted Rovers" "Mad Buccaneers" "Burning Return" "Killer" 
			"Howling Rose" "Howling Pillager" "Lust of Sun" "Night" "Bearded Marauders" "Hades" "Revenge Ranger" "Vicious Abandoned" "Blind Cutlass" "Rude Doom" 
			"Death of Trinity" "Howling Scorn" "Elusive Seas" "Buccaneers Deceit" "Rising Killers" "Damned" "Angry Night" "Poisonous Horror" "Saber" "Victory Galley" 
			"Grief of Buccaneers" "Captains Ranger" "Foul Serpent of Delivery" "Shadows of Hind" "Swashbucklers" "Howl of Murderer" "Murderous James" "White Eel" "Murderers" "Greedy Insanity" 
			"Deceit of Sun" "Happy King" "Grief of Doom" "Snap Slave" "Vile Abandoned" "Oceans Horror" "Murderous Hind" "Golden Murderers" "Corrupted Anger" "Lightning" 
			"Foul Serpent of Demon" "Rising Secret" "Damnation of Serpent" "Vile Damned" "Barbaric Doom" "Davy Jones Servant" "Good Servants" "Disrespectful Night" "Poisoned Plunderers" "Blasted Cutlass" 
			"Fall of Serpent" "Sanguine Rift" "Howling Tortuga" "Pirate" "Death of Wolf" "Hateful Murderers" "Blasted Death" "Homicidal North" "Lust" "Savage Sea Rovers" 
			" Tainted" "Burning Hangman" "Discourteous Fortune" "Anger of Murderer" "Blind Executioner" "Fortune Return" "Davy Jones Trinity" "Dirty King" "Disrespectful Tainted" "Greedy Lightning" 
			"Fall of Secret" "Mad Damnation" "Bloodthirsty Ranger" "Mad Seven Seas" "Oceans Howl" "Cursed Corruption" "Strumpet" "Sanguine Princess" "Mangy Raider" "Dragons Scorn" 
			"Curse of Pearl" "Dishonorable Return" "Golden Eel" "Golden Rose" "White Eel" "Murderous Murderer" "Flying Fall" "Mermaid's Lightning" "Greedy North" "Homicidal Lightning" 
			"Madness of Seas" "Rancid Deceit" "Most Servants" "Sadness of Tainted" "Snap Plunderer" "Death of Squid" "Bearded Sea" "Sea" "Curse of Demon" "Broken Coward" 
			"Fearful North" "Corrupted Pillager" "Scurvy Squid" "Rising Fall" "Howl of Saber" "Pride of Seven Seas" "Hades Princess" "Festering Gold" "Black Servant" "Mangy Scream" 
			"Bloodthirsty Squid" "Mad Murderers" "Red Rovers" "Cursed Terror" "Plundering Treasure" "Fearful Grail of Plunder" "Insanity" "Discourteous Lightning" "Devils Doom" "Curse of Jewel" 
			"Mad Jewel" "Blasted Secret" "Little Killers" "Mermaid's Pillager" "Fearful Plague" "Seven Seas" "Poisonous Serpent" "Greed of Shark" "Buccaneers Servants" "Night Deceit" 
			"Rancid Ranger" "Burning Demon" "Vile Captain" "Scurvy Horror" "Disgraceful Eel" "Neptune's Disgrace" "Greed of Captain" "Seas Doom" "Poison Hades" "Homicidal Fear" 
			"Deceit of Tide" "Silent Scorn" "Black Princess" "Damned Tainted" "Gold Saber" "Burning Return" "Poisonous Dagger" "Gold Slave" "Sadness of Hangman" "Buccaneers Storm" 
			"Festering Sea" "Homicidal Howl" "Lust of Revenge" "Evil Marauders" "Victory Sun" "Captains Strumpet" "Fortune Lightning" "Hellish Killer" "Hades Buccaneers" "Mad James" 
			"Festering Killers" "Corrupted Hangman" "Burning Killers" "Burning Ghost" "Rancid Rovers" "Hellish Murderers" "Dirty Marauders" "New Corruption" "White Minnow" "Sadness of Lightning" 
			"Pillaging Raider" "Poisoned Delivery" "Buccaneers Captain" "Cry of Serpent" "Speedy Doubloon" "Fortune Raider" "Fortune Pillager" "Drunken Curse" "Red Rovers" "Cacophonous Plunder" 
			"Burning Jewel" "Mermaid's Strumpet" "Revenge Marauders" "Scurvy Swashbucklers" "Grief of Demon" "Bearded Storm" "Victory Return" "Neptune's Slave" "Hellish Curse" "Grace of Swashbucklers" 
			"Pillaging Rambler" "Horrid Rift" "Devils Rose" "Dragons Executioner" "Hell-born Slave" "Rising Servants" "Treasure" "Pride of North" "Foul Serpent of Lightning" "Fall of Return" 
			"Death of Atlantis" "Cutlass" "Hell-born Rovers" "Vile Lightning" "Loyal Princess" "Night Minnow" "Murderers Lust" "Scurvy North" "Death of Caribbean" "Bloodthirsty Jewel" 
			"Snap Return" "Homicidal James" "Drunken Deceit" "Impolite Death" "Poisoned Plague" "Good Pillager" "Sudden Galley" "Howling Sun" "Pride of Rose" "Disgraced Trinity" 
			"Sadness of Fear" "Horrid Saber" "Corrupted Princess" "Poseidon's Eel" "Vile Eel" "Lightning" "New Tortuga" "Liberty Doom" "Madness of Storm" "Deceit of Revenge" 
			"Murderous Seas" "Burning Damnation" "Adventure Disgrace" "Deceit" "Evil Hades" "Fortune Delight" "Killers Princess" "Sea Killer" "Last Scream" "Damnation of Rose" 
		}
		
		pirate_corvette = { }
		marauder_corvette = { }
		
		pirate_destroyer = { }
		marauder_destroyer = { }
		
		pirate_cruiser = { }
		marauder_cruiser = { }
		
		galleon = {	}
		marauder_galleon = { }
		
		corvette = {
		}
		
		constructor = {
		}
		
		colonizer = {
		}
		
		science = {
		}
		
		destroyer = {
		}
		
		cruiser = {
		}
		
		battleship = {
		}

		titan = {
		}

		colossus = {
		}
		
		transport = {
			"Carry Me Home"
		}
		
		pirate_station = {
			"Dark Lair" "Safe Harbor" "Slave Market" "Port Despair"
			
			"Jolly Roger Hideout" "Sanctuary of Booty" "Peril Cove" "Cay of Mermaids" "Dead Man's Refuge" "Isle of Monkeys" "Murder Anchorage" "Sanctuary of Blood" "Macaw Refuge" "Retreat of Crow's Nests" 
			"Occult Haven" "Atoll of Anchors" "Crimson Haven" "Anchorage of Gunpowder" "Nemo Cave" "Island of Scourge" "Maroon Port" "Cave of Barnacles" "Tempest Cove" "Port of Black Spot" 
			"Mutiny Port" "Isle of Rumrunners" "Scuttle Port" "Port of Gold" "Hazard Cove" "Sanctuary of Scourge" "Timber Retreat" "Hideout of Red Sand" "Kraken Anchorage" "Sanctuary of Red Sand" 
			"Buried Atoll" "Port of Sanguine" "Maroon Atoll" "Atoll of Timber" "Parley Island" "Island of Marauders" "Blood Atoll" "Bay of Cries" "Black Sand Haven" "Port of Seaweed" 
			"Seadog Haven" "Atoll of Sunken Fleet" "Davy Jones' Refuge" "Sanctuary of Skulls" "Macaw Hideout" "Atoll of Wreckages" "Low Tide Haven" "Bay of Booty" "Crow's Nest Cave" "Cay of Unnamed" 
			"Parrot Bay" "Refuge of No Return" "Hornswaggle Island" "Isle of Nemo" "Dagger Tooth Hideout" "Haven of Mermaids" "Devil's Atoll" "Atoll of Danger" "Silver Reef" "Lagoon of Dead Whales" 
			"Privateer Port" "Hideout of Sharks" "Mutiny Port" "Cavern of Thunder" "Lost Treasure Hideout" "Retreat of No Tales" "Stormy Haven" "Sanctuary of Unknown" "Blimey Port" "Atoll of Unknown" 
			"Kraken Port" "Cavern of Dubloons" "Last Words Atoll" "Port of Whispers" "Grog Cave" "Sanctuary of Scallywags" "Seadog Cavern" "Cave of Macaws" "Red Water Sanctuary" "Cay of Killer Whales" 
			"Blood Cavern" "Cavern of Dubloons" "Big Horn Cove" "Cay of Thunder" "Anchor Sanctuary" "Anchorage of Keelhaul" "Cutlass Port" "Island of Broken Teeth" "Blimey Port" "Cavern of Jolly Roger" 
			"Old Salt Atoll" "Haven of Death Curse" "Cutlass Haven" "Atoll of Cries" "Maroon Island" "Refuge of Silver" "Full Moon Cave" "Island of Old Salt" "Corsair Retreat" "Lagoon of Black Sand" 
			"Scourge Cove" "Cay of Cries" "Scallywag Lagoon" "Refuge of Tortoise" "Low Tide Lagoon" "Cavern of Shipwrecks" "Red Sand Anchorage" "Enclave of Jolly Roger" "Quartermaster Refuge" "Port of Destruction" 
			"Black Spot Port" "Retreat of Scurvy" "Buried Enclave" "Refuge of Crosses" "Monkey Cay" "Cay of Crow's Nests" "Death Curse Port" "Refuge of Tortoise" "High Tide Lagoon" "Cove of Gunpowder" 
			"Blackbeard's Cove" "Isle of Tortoise" "Quartermaster Refuge" "Haven of Hurricanes" "Crocodile Enclave" "Refuge of Lost Treasure" "Macaw Refuge" "Retreat of Last Words" "Shark Fin Bay" "Sanctuary of Mystery" 
			"Dubloon Reef" "Retreat of Scourge" "Black Sand Bay" "Sanctuary of Macaws" "Gold Anchorage" "Cay of Unnamed" "Monsoon Anchorage" "Reef of Shipwrecks" "Freebooter Retreat" "Isle of Shark Fin" 
